"filename", "language", "Markdown", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tails\ToxicTail.cs", "C#", 0, 29, 0, 0, 0, 3, 32
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tails\UnholyTail.cs", "C#", 0, 44, 0, 0, 0, 5, 49
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\AdamantiteTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\BoneTip.cs", "C#", 0, 23, 0, 0, 0, 4, 27
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\ChlorophyteTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\HallowedTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\HellStoneTip.cs", "C#", 0, 28, 0, 0, 0, 5, 33
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\HypodermicNeedle.cs", "C#", 0, 25, 0, 0, 0, 4, 29
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\LihzahrdTip.cs", "C#", 0, 27, 0, 0, 0, 5, 32
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\LunarTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\MeteorTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\ShroomiteTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content\Items\Ammo\Darts\Tips\SpectreTip.cs", "C#", 0, 24, 0, 0, 0, 4, 28
